source_id,static_E
4089101408928985472,-186031.1269101935
6658131046125804032,-173411.17011012958
4435481793951055488,-160548.42625847357
5014129887197566720,-136461.2085819634
1853427857385706496,-138902.58968250232
5920776489590912256,-177270.6624147972
4138335134426278144,-184379.522055414
1410864394158949760,-140830.7016786718
4045242985284659584,-204844.43795685418
4607461870850393344,-148164.282312216
6273823076191981184,-153670.73096797903
6826240532852350720,-147169.4523701295
4049351795951596160,-200348.81232474826
5072114831911527808,-120816.07619640525
2801519382344973824,-141734.2915033507
4948654828757666432,-143387.89640739537
4122213235965057024,-194146.35257002027
6692276792041579648,-169947.04811985377
2278092164659280000,-124412.09604355168
1157733762059795328,-148263.8276502258
5969119365860676736,-149249.58351873772
4076491762930723584,-188978.10164945165
5818800462608599808,-156111.29647301696
4045686780079451392,-203617.24648939515
6360165216061082368,-152565.67808693805
1086328556374606720,-119880.20968316258
5587900649951249280,-128534.83917381887
1421789824591048320,-143468.40014372644
5914378362714632832,-153897.58783963544
4470537110875289856,-170313.02399784088
3511377833132795904,-144254.20863536725
6855273446623130112,-158971.7520346398
6290321729203054720,-151926.94944149643
4206046423410846976,-162652.3101640267
6769776453244446080,-183078.8842322136
5835810869668966528,-169404.8808702487
6499628988915006464,-138468.23302210114
2288286355435563904,-124901.19248529612
4038063281786427520,-200481.52627384273
2408666106828333824,-144472.1443905196
6032630048039981056,-190888.24144166717
2156811153033660672,-126311.19689727455
3478729965651844608,-142147.44353494563
4100555154676059520,-185891.4966412936
4115340906008219904,-201074.9758561012
1748949234558638336,-152894.80060815904
1204350409378572544,-145936.8093881171
4460195551168237056,-152153.77047287507
4373704186956220416,-164197.71037269256
6880038365491312896,-154152.98135757062
4363585759403735040,-158171.47667414954
4222562260586379136,-159151.59937153413
2039839913456905344,-148167.72217541892
6726438171664715776,-198541.81864068637
4191416910105883136,-160977.17880241125
6863375399913666432,-158692.68446276203
5961213739824558720,-203373.82346721634
6146907995187293696,-148779.345145547
234580256030945920,-132219.4738388221
5565366983768870144,-122235.77004269525
4868508643069593856,-114461.97064604909
4425278016809160192,-151766.10960405623
5224570434164170752,-145417.02792805797
4718685645319833344,-126001.51935738075
1730505652852601472,-147180.65024568565
3896383443190677376,-143115.51302173937
3646290899157821184,-149469.81439009056
5960987725819596032,-155227.2875978686
4108777135199697024,-182357.56315567633
5819812975383157760,-158719.7314242749
4474045068351614336,-167581.2270939237
6034800140379874176,-196073.07123522257
2690011345462542976,-150983.96159728404
3570171399929473536,-142888.2054780278
4546691691384198144,-156502.99120820433
4697418105437236864,-137887.18382538093
3185318931226721920,-125497.26424928583
1896464151243451904,-143914.37218583995
5871223184205647488,-159101.89493270387
2960024944247308288,-142788.5115597672
3624354473952971008,-146267.80119801464
2255141405619138688,-125666.9155095547
4039661108348928640,-206559.09054392867
